,website,202409,202408,202407,202406,202405,202404,202403,202402,202401,202312,202311,202310,202309,202308,202307,202306,202305,202304,202303,202302,202301,202212,202211,202210,202209,202208,202207,202206,202205,202204,202203,202202,202201,202112,202111,202110,202109,202108,202107,202106,202105,202104,202103,202102,202101,202012,202011,202010,202009,202008,202007,202006,202005,202004,202003,202002,202001,201912,201911,201910,201909
25,capitaloneshopping.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['855757074807164', '489250921915227']",[],['855757074807164'],['855757074807164'],['855757074807164'],['855757074807164'],[],['855757074807164'],[],[],['855757074807164'],[],[],[],[],[],[],[],['855757074807164'],['855757074807164'],[],"['855757074807164', '489250921915227']","['855757074807164', '489250921915227']",[],"['855757074807164', '489250921915227']","['855757074807164', '489250921915227']",['855757074807164'],,,,,,,,,,,,,,
26,haxx.se,[],[],[],[],[],[],,[],[],[],[],[],[],,[],[],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,[],[],,[],,[],
27,githubusercontent.com,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,nist.gov,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
29,consultant.ru,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
30,thomsonreuters.net,,,,[],[],[],,[],,,,,,,,,,,[],,,,,[],[],,,,,[],,,,[],,,,,,,,,[],,,,,,,,,,,,,,[],[],,,
31,x.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
32,noaa.gov,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
33,cookielaw.org,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
34,eset.com,['1391352437799300'],['1391352437799300'],['1391352437799300'],['1391352437799300'],['1391352437799300'],['1391352437799300'],['1391352437799300'],[],['1391352437799300'],['1391352437799300'],['1391352437799300'],['1391352437799300'],['1391352437799300'],['1391352437799300'],[],['1391352437799300'],['1391352437799300'],['1391352437799300'],['1391352437799300'],['1391352437799300'],[],['1391352437799300'],['1391352437799300'],['1391352437799300'],['1391352437799300'],['1391352437799300'],[],"['1479728268971145', '1391352437799300']",['1391352437799300'],['1479728268971145'],['1391352437799300'],"['1479728268971145', '1391352437799300']","['1479728268971145', '1391352437799300']","['1479728268971145', '1391352437799300']",['1391352437799300'],"['1479728268971145', '1391352437799300']",['1391352437799300'],"['1479728268971145', '1391352437799300']",['1479728268971145'],['1391352437799300'],['1391352437799300'],['1391352437799300'],['1391352437799300'],['1391352437799300'],['1391352437799300'],['1391352437799300'],['1391352437799300'],[],[],['1391352437799300'],['1391352437799300'],['1391352437799300'],['1391352437799300'],['1391352437799300'],[],[],[],['1391352437799300'],[],[],[]
35,mos.ru,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
36,nintendo.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['635430006918397'],['635430006918397'],['635430006918397'],['635430006918397'],['635430006918397'],['635430006918397'],['635430006918397']
37,whitehouse.gov,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
38,flightradar24.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,[],,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
39,tradingview.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
40,calendly.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
41,delta.com,[],[],[],['410621589144261'],['410621589144261'],[],[],['410621589144261'],[],['410621589144261'],['410621589144261'],['410621589144261'],['410621589144261'],[],[],['410621589144261'],['410621589144261'],[],['410621589144261'],['410621589144261'],['410621589144261'],[],['410621589144261'],[],['410621589144261'],['410621589144261'],['410621589144261'],[],['410621589144261'],[],['410621589144261'],['410621589144261'],[],['410621589144261'],['410621589144261'],['410621589144261'],['410621589144261'],['410621589144261'],['410621589144261'],['410621589144261'],[],[],['410621589144261'],[],[],['410621589144261'],[],['410621589144261'],['410621589144261'],[],[],['410621589144261'],[],[],[],[],[],[],[],[],[]
42,1drv.com,,,[],[],[],,[],[],[],[],,,[],,,[],,,[],[],,,,[],,,,[],,,,,[],,[],,,[],,,,,,,[],,,,,,[],[],[],,[],,[],[],[],,
43,linode.com,['1276761735802781'],['1276761735802781'],[],['1552019005089831'],"['1276761735802781', '1552019005089831']",['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],[],['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],[],['1552019005089831'],['1552019005089831'],['1552019005089831'],[],[],['1552019005089831'],['1552019005089831'],[],['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],[],['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],['1552019005089831'],[],[],[],['1552019005089831'],['1552019005089831']
44,msftconnecttest.com,,[],[],[],,[],,,[],,[],,[],,[],,[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
45,nodejs.org,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
46,myfritz.net,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
47,criteo.net,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,
48,google.pt,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
49,treasury.gov,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
50,theregister.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
51,google.com.eg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
52,sureserver.com,,,,,[],[],,,,,,,,,,,,,[],,[],,,,,,,,[],[],[],,,[],,,,[],,,,,[],,,,,,,,,[],,,[],,,,,[],
53,flashtalking.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['742251129208380'],['742251129208380'],['742251129208380'],['742251129208380'],['742251129208380'],['742251129208380'],['742251129208380'],['742251129208380'],['742251129208380'],['742251129208380'],['742251129208380'],['742251129208380'],['742251129208380'],['742251129208380'],['742251129208380'],[],['742251129208380'],['742251129208380'],['742251129208380'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
54,chegg.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
55,change.org,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097'],['1081902691834097']
56,ea.com,[],[],[],[],['369792873645645'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['369792873645645', '2405331389523044']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
57,bluekai.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
58,mob.com,[],[],[],[],[],[],[],[],[],[],,,[],[],,[],[],[],[],[],[],[],,[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
59,amazon.dev,,,,,,,,,,,,,,,,,,,[],,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,sina.com.cn,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
61,synology.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
62,hotjar.com,[],[],[],[],[],[],[],[],[],['259210877621442'],[],[],['259210877621442'],[],[],[],[],[],['259210877621442'],[],[],['259210877621442'],[],[],[],[],[],[],[],[],[],[],[],[],[],['259210877621442'],['259210877621442'],[],[],['259210877621442'],['259210877621442'],['259210877621442'],['259210877621442'],['259210877621442'],['259210877621442'],['259210877621442'],['259210877621442'],['259210877621442'],[],[],['259210877621442'],['259210877621442'],['259210877621442'],['259210877621442'],['259210877621442'],['259210877621442'],['259210877621442'],['259210877621442'],['259210877621442'],['259210877621442'],['259210877621442']
63,windows.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
64,vungle.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,[],[]
65,cloudflare.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
66,brightcloud.com,[],[],[],[],[],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[]
67,cloudflare-dns.com,[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,[],,,[],,[],[]
68,ow.ly,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
69,azurewebsites.net,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,[],[],,,,,,[],,,,,[],,,,,[],,,[],[],[],,[],[],,[],[],[],[]
70,toasttab.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,[],[],[],[]
71,chess.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
72,woocommerce.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['743980872357899'],[],[],['743980872357899'],[],['743980872357899'],['743980872357899'],['743980872357899'],['743980872357899'],['743980872357899'],[],['743980872357899'],['743980872357899'],['743980872357899'],[],['743980872357899'],['743980872357899']
73,kwai-pro.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,fliphtml5.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['595932877846304'],['595932877846304'],['595932877846304'],['595932877846304'],['595932877846304'],['595932877846304'],['595932877846304'],['595932877846304'],['595932877846304'],['595932877846304'],['595932877846304'],['595932877846304'],['595932877846304'],['595932877846304'],['595932877846304'],['595932877846304'],['595932877846304'],[],['595932877846304'],['595932877846304'],['595932877846304'],['595932877846304'],['595932877846304'],['595932877846304'],['595932877846304'],['595932877846304'],['595932877846304'],['595932877846304'],['595932877846304'],['595932877846304'],['595932877846304'],['595932877846304'],['595932877846304'],['595932877846304'],[],[],[]
75,amazon.fr,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
76,investopedia.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
77,livedns.co.uk,,,,,,[],,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[],[],[],[],[],[],[],[],[],[],[],
78,fbi.gov,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
79,telegram.me,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
80,elle.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
